ortografi,PoS,RedPoS,xmin,xmax,speaker,turnummer,gold
børn,NCNPU==I,N,875.38,875.6445,DRJ,243,
og,CC,SKONJ,875.6445,875.909,DRJ,243,
....,,,875.909,878.503,DRJ,243,
er,VADR=----A-,V_PRES,878.503,878.597,XIP,244,
det,PP3NSU-NU,PRON_PERS,878.597,878.691,XIP,244,
nogle,PI-.PU--U,PRON_UBST,878.691,878.935,XIP,244,
lokale,ANP.PU=.U,ADJ,878.935,879.314,XIP,244,
nogle,PI-.PU--U,PRON_UBST,879.314,879.4875,XIP,244,
også,RGU,ADV,879.4875,879.661,XIP,244,
nogle,PI-.PU--U,PRON_UBST,879.661,879.93,XIP,244,
lo-,XZ,,879.93,880.1435,XIP,244,
dem,PP3.PU-NU,PRON_PERS,880.1435,880.357,XIP,244,
du,PP2CSN-NU,PRON_PERS,880.357,880.455,XIP,244,
sagde,VADA=----A-,V_PAST,880.455,880.612,XIP,244,
der,U=,UNIK,880.612,880.769,XIP,244,
der,U=,UNIK,880.769,880.8526667,XIP,244,
var,VADA=----A-,V_PAST,880.8526667,880.9363333,XIP,244,
i,SP,PRÃ†P,880.9363333,881.02,XIP,244,
familie,NCCSU==I,N,881.02,881.419,XIP,244,
med,SP,PRÃ†P,881.419,881.6085,XIP,244,
hinanden,PC--PU---,PRON_REC,881.6085,881.798,XIP,244,
og,CC,SKONJ,881.798,881.9365,XIP,244,
det,PD-NSU--U,PRON_DEMO,881.9365,882.075,XIP,244,
....,,,882.075,883.093,XIP,244,
nej,I=,INTERJ,952.987,953.12175,XIP,270,
jeg,PP1CSN-NU,PRON_PERS,953.12175,953.2565,XIP,270,
tror,VADR=----A-,V_PRES,953.2565,953.39125,XIP,270,
nemlig,RGU,ADV,953.39125,953.526,XIP,270,
at,CS,UKONJ,953.526,953.726,XIP,270,
alle,ANP.PU=.U,ADJ,953.726,953.926,XIP,270,
lærerne,NCCPU==D,N,953.926,954.126,XIP,270,
er,VADR=----A-,V_PRES,954.126,954.2656667,XIP,270,
er,VADR=----A-,V_PRES,954.2656667,954.4053333,XIP,270,
er,VADR=----A-,V_PRES,954.4053333,954.545,XIP,270,
tilflyttere,NCCPU==I,N,954.545,954.7486667,XIP,270,
og,CC,SKONJ,954.7486667,954.9523333,XIP,270,
det,PP3NSU-NU,PRON_PERS,954.9523333,955.156,XIP,270,
gælder,VADR=----A-,V_PRES,955.156,955.34,XIP,270,
vist,RGU,ADV,955.34,955.524,XIP,270,
faktisk,ANP---=-R,ADJ,955.524,955.84,XIP,270,
alle,ANP.PU=.U,ADJ,955.84,955.988,XIP,270,
skolerne,NCCPU==D,N,955.988,956.543,XIP,270,
ja,I=,INTERJ,966.709,966.902,XIP,274,
......,,,966.902,972.292,XIP,274,
nej,I=,INTERJ,972.292,972.502,XIP,274,
fordi,CS,UKONJ,972.502,972.8,XIP,274,
der,U=,UNIK,972.8,973.169,XIP,274,
er,VADR=----A-,V_PRES,973.169,973.538,XIP,274,
...,,,973.538,974.288,XIP,274,
der,U=,UNIK,974.288,974.3725,XIP,274,
er,VADR=----A-,V_PRES,974.3725,974.457,XIP,274,
sket,VAPA=S.I.-U,V_PARTC_PAST,974.457,974.741,XIP,274,
en,PI-CSU--U,PRON_UBST,974.741,974.901,XIP,274,
masse,NCCSU==I,N,974.901,975.135,XIP,274,
hensyn,NCNSU==I,N,975.135,975.3476667,XIP,274,
til,RGU,ADV,975.3476667,975.5603333,XIP,274,
med,SP,PRÃ†P,975.5603333,975.773,XIP,274,
..,,,975.773,976.124,XIP,274,
sådan,RGU,ADV,976.124,976.3775,XIP,274,
med,SP,PRÃ†P,976.3775,976.631,XIP,274,
..,,,976.631,976.949,XIP,274,
forbindelsen,NCCSU==D,N,976.949,977.393,XIP,274,
mellem,SP,PRÃ†P,977.393,977.8495,XIP,274,
xxx,XZ,,977.8495,978.306,XIP,274,
retningerne,NCCPU==D,N,978.306,978.825,XIP,274,
mindre,ANC..U=.U,ADJ,978.825,979.088,XIP,274,
forbindelse,NCCSU==I,N,979.088,979.39,XIP,274,
og,CC,SKONJ,979.39,979.692,XIP,274,
også,RGU,ADV,979.692,979.994,XIP,274,
også,RGU,ADV,979.994,980.188,XIP,274,
der,U=,UNIK,980.188,980.382,XIP,274,
hvor,RGU,ADV,980.382,980.576,XIP,274,
i,SP,PRÃ†P,980.576,980.6955,XIP,274,
og,CC,SKONJ,980.6955,980.815,XIP,274,
for,SP,PRÃ†P,980.815,980.9673333,XIP,274,
sig,PP3..U-YU,PRON_PERS,980.9673333,981.1196667,XIP,274,
er,VADR=----A-,V_PRES,981.1196667,981.272,XIP,274,
nogen,PI-CSU--U,PRON_UBST,981.272,981.5015,XIP,274,
der,U=,UNIK,981.5015,981.731,XIP,274,
...,,,981.731,982.606,XIP,274,
ej,I=,INTERJ,982.606,982.678,XIP,274,
man,PI-C.N--U,PRON_UBST,982.678,982.75,XIP,274,
kan,VADR=----A-,V_PRES,982.75,982.905,XIP,274,
godt,ANP---=-R,ADJ,982.905,983.075,XIP,274,
forstå,VAF-=----A-,V_INF,983.075,983.387,XIP,274,
det,PP3NSU-NU,PRON_PERS,983.387,983.5396667,XIP,274,
måske,RGU,ADV,983.5396667,983.6923333,XIP,274,
her,RGU,ADV,983.6923333,983.845,XIP,274,
hvor,RGU,ADV,983.845,983.905,XIP,274,
det,PP3NSU-NU,PRON_PERS,983.905,983.965,XIP,274,
er,VADR=----A-,V_PRES,983.965,984.025,XIP,274,
lutter,NCCPU==I,N,984.025,984.319,XIP,274,
tilflyttere,NCCPU==I,N,984.319,984.647,XIP,274,
ikke,RGU,ADV,984.647,984.975,XIP,274,
sjette,AO---U=--,NUM_ORD,1223.197,1223.397,JRJ,363,
klasse,NCCSU==I,N,1223.397,1223.597,JRJ,363,
jo,RGU,ADV,1223.597,1223.797,JRJ,363,
..,,,1223.797,1224.15,JRJ,363,
det,PP3NSU-NU,PRON_PERS,1224.15,1224.243667,JRJ,363,
gjorde,VADA=----A-,V_PAST,1224.243667,1224.337333,JRJ,363,
de,PP3.PN-NU,PRON_PERS,1224.337333,1224.431,JRJ,363,
begge,PD-.PU--U,PRON_DEMO,1224.431,1224.563,JRJ,363,
steder,NCNPU==I,N,1224.563,1224.77,JRJ,363,
fra,SP,PRÃ†P,1224.77,1224.999,JRJ,363,
..,,,1224.999,1225.382,JRJ,363,
ja,I=,INTERJ,1254.7565,1254.856,JRJ,376,
ej,I=,INTERJ,1265.438667,1265.537333,JRJ,376,
men,CC,SKONJ,1265.537333,1265.636,JRJ,376,
......,,,1265.636,1286.073,JRJ,376,
ej,I=,INTERJ,1286.073,1286.2535,JRJ,376,
de,PP3.PN-NU,PRON_PERS,1286.2535,1286.434,JRJ,376,
har,VADR=----A-,V_PRES,1286.434,1286.636667,JRJ,376,
måske,RGU,ADV,1286.636667,1286.839333,JRJ,376,
også,RGU,ADV,1286.839333,1287.042,JRJ,376,
følt,VAPA=S.I.-U,V_PARTC_PAST,1287.042,1287.255,JRJ,376,
sig,PP3..U-YU,PRON_PERS,1287.255,1287.403,JRJ,376,
lidt,ANP---=-R,ADJ,1287.403,1287.5545,JRJ,376,
øh,I=,INTERJ,1287.5545,1287.706,JRJ,376,
forbigået,VAPA=S.I.-U,V_PARTC_PAST,1287.706,1288.349,JRJ,376,
i,SP,PRÃ†P,1288.349,1288.615,JRJ,376,
..,,,1288.615,1288.802,JRJ,376,
med,SP,PRÃ†P,1288.802,1288.936,JRJ,376,
deres,PO3..UPNU,PRON_POSS,1288.936,1289.158,JRJ,376,
bestræbelser,NCCPU==I,N,1289.158,1289.456,JRJ,376,
har,VADR=----A-,V_PRES,1289.456,1289.754,JRJ,376,
fået,VAPA=S.I.-U,V_PARTC_PAST,1289.754,1290.2,JRJ,376,
..,,,1290.2,1290.598,JRJ,376,
nogle,PI-.PU--U,PRON_UBST,1290.598,1290.846,JRJ,376,
ordentlige,ANP.PU=.U,ADJ,1290.846,1291.094,JRJ,376,
baner,NCCPU==I,N,1291.094,1291.492,JRJ,376,
og,CC,SKONJ,1291.492,1291.89,JRJ,376,
..,,,1291.89,1292.146,JRJ,376,
og,CC,SKONJ,1292.146,1292.216,JRJ,376,
så,RGU,ADV,1292.216,1292.443667,JRJ,376,
noget,PI-NSU--U,PRON_UBST,1292.443667,1292.671333,JRJ,376,
der,U=,UNIK,1292.671333,1292.899,JRJ,376,
...,,,1292.899,1293.41,JRJ,376,
øh,I=,INTERJ,1293.41,1293.739,JRJ,376,
....,,,1293.739,1294.812,JRJ,376,
ja,I=,INTERJ,1381.196,1381.349,JRJ,399,
det,PP3NSU-NU,PRON_PERS,1381.349,1381.477,JRJ,399,
bliver,VADR=----A-,V_PRES,1381.477,1381.605,JRJ,399,
jo,RGU,ADV,1381.605,1381.733,JRJ,399,
sådan,RGU,ADV,1381.733,1381.902333,JRJ,399,
en,PI-CSU--U,PRON_UBST,1381.902333,1382.071667,JRJ,399,
gang,NCCSU==I,N,1382.071667,1382.241,JRJ,399,
blandet,VAPA=S.I.-U,V_PARTC_PAST,1382.241,1382.454,JRJ,399,
landhandel,NCCSU==I,N,1382.454,1382.948,JRJ,399,
når,CS,UKONJ,1382.948,1383.017,JRJ,399,
vi,PP1CPN-NU,PRON_PERS,1383.017,1383.086,JRJ,399,
er,VADR=----A-,V_PRES,1383.086,1383.155,JRJ,399,
nået,VAPA=S.I.-U,V_PARTC_PAST,1383.155,1383.382,JRJ,399,
den,PD-CSU--U,PRON_DEMO,1383.382,1383.547,JRJ,399,
alder,NCCSU==I,N,1383.547,1383.7745,JRJ,399,
der,U=,UNIK,1383.7745,1384.002,JRJ,399,
..,,,1384.002,1384.169,JRJ,399,
så,RGU,ADV,2527.09,2527.20675,XIP,761,
det,PP3NSU-NU,PRON_PERS,2527.20675,2527.3235,XIP,761,
var,VADA=----A-,V_PAST,2527.3235,2527.44025,XIP,761,
noget,PI-NSU--U,PRON_UBST,2527.44025,2527.557,XIP,761,
værre,ANC..U=.U,ADJ,2527.557,2527.7315,XIP,761,
noget,PI-NSU--U,PRON_UBST,2527.7315,2527.906,XIP,761,
med,SP,PRÃ†P,2527.906,2528.0365,XIP,761,
ham,PP3CSU-NU,PRON_PERS,2528.0365,2528.167,XIP,761,
morfar,NCCSU==I,N,2528.167,2528.612,XIP,761,
der,U=,UNIK,2528.612,2528.772667,XIP,761,
skulle,VADA=----A-,V_PAST,2528.772667,2528.933333,XIP,761,
betale,VAF-=----A-,V_INF,2528.933333,2529.094,XIP,761,
tandfeen,NCCSU==D,N,2529.094,2529.841,XIP,761,
.,,,55.654,55.716,ACM,23,
jeg,PP1CSN-NU,PRON_PERS,55.716,55.811,ACM,23,
har,VADR=----A-,V_PRES,55.811,55.906,ACM,23,
boet,VAPA=S.I.-U,V_PARTC_PAST,55.906,56.424,ACM,23,
øh,I=,INTERJ,56.424,56.941,ACM,23,
.,,,56.941,57.006,ACM,23,
ude,RGU,ADV,57.006,57.142,ACM,23,
i,SP,PRÃ†P,57.142,57.277,ACM,23,
den,PP3CSU-NU,PRON_PERS,57.277,57.412,ACM,23,
anden,PI-CSU--U,PRON_UBST,57.412,57.548,ACM,23,
ende,NCCSU==I,N,57.548,57.684,ACM,23,
af,SP,PRÃ†P,57.684,57.819,ACM,23,
byen,NCCSU==D,N,57.819,58.054,ACM,23,
i,SP,PRÃ†P,58.054,58.288,ACM,23,
Dalu-,XZ,,58.288,58.556,ACM,23,
ved,SP,PRÃ†P,58.556,58.825,ACM,23,
Dalumvej,NP--U==-,EGEN,58.825,59.67,ACM,23,
....,,,59.67,61.414,ACM,23,
..,,,92.195,92.693,XNJ,34,
ja,I=,INTERJ,92.693,93.084,XNJ,34,
..,,,93.084,93.215,XNJ,34,
og,CC,SKONJ,93.215,93.618,XNJ,34,
øh,I=,INTERJ,93.618,94.021,XNJ,34,
..,,,94.021,94.147,XNJ,34,
har,VADR=----A-,V_PRES,94.147,94.212,XNJ,34,
du,PP2CSN-NU,PRON_PERS,94.212,94.278,XNJ,34,
gået,VAPA=S.I.-U,V_PARTC_PAST,94.278,94.344,XNJ,34,
i,SP,PRÃ†P,94.344,94.409,XNJ,34,
skole,NCCSU==I,N,94.409,94.633,XNJ,34,
andre,PI-.PU--U,PRON_UBST,94.633,94.858,XNJ,34,
steder,NCNPU==I,N,94.858,95.082,XNJ,34,
..,,,95.082,95.484,XNJ,34,
ja,I=,INTERJ,168.631,169.119,ACM,51,
jeg,PP1CSN-NU,PRON_PERS,169.119,169.434,ACM,51,
har,VADR=----A-,V_PRES,169.434,169.748,ACM,51,
tre,AC---U=--,NUM,169.748,170.246,ACM,51,
storebrødre,NCCPU==I,N,170.246,170.745,ACM,51,
....,,,170.745,172.344,ACM,51,
og,CC,SKONJ,172.344,172.475,ACM,51,
så,RGU,ADV,172.475,172.607,ACM,51,
har,VADR=----A-,V_PRES,172.607,172.738,ACM,51,
jeg,PP1CSN-NU,PRON_PERS,172.738,172.869,ACM,51,
en,PI-CSU--U,PRON_UBST,172.869,173.001,ACM,51,
masse,NCCSU==I,N,173.001,173.132,ACM,51,
halvsøskende,ANP..U=.U,ADJ,173.132,173.333,ACM,51,
jeg,PP1CSN-NU,PRON_PERS,173.333,173.534,ACM,51,
ved,SP,PRÃ†P,173.534,173.736,ACM,51,
ikke,RGU,ADV,173.736,173.937,ACM,51,
om,SP,PRÃ†P,173.937,174.138,ACM,51,
...,,,174.138,174.751,ACM,51,
det,PP3NSU-NU,PRON_PERS,174.751,175.277,ACM,51,
også,RGU,ADV,175.277,175.804,ACM,51,
...,,,175.804,176.33,ACM,51,
..,,,176.33,176.685,ACM,51,
og,CC,SKONJ,185.958,186.116,XNJ,54,
så,RGU,ADV,186.116,186.274,XNJ,54,
har,VADR=----A-,V_PRES,186.274,186.431,XNJ,54,
du,PP2CSN-NU,PRON_PERS,186.431,186.589,XNJ,54,
en,PI-CSU--U,PRON_UBST,186.589,186.878,XNJ,54,
masse,NCCSU==I,N,186.878,187.167,XNJ,54,
halvsøskende,ANP..U=.U,ADJ,187.167,187.456,XNJ,54,
siger,VADR=----A-,V_PRES,187.456,187.595,XNJ,54,
du,PP2CSN-NU,PRON_PERS,187.595,187.733,XNJ,54,
ha,I=,INTERJ,187.733,187.872,XNJ,54,
hvad,PT-.SU--U,PRON_INTER_REL,269.96,270.09,XNJ,72,
med,SP,PRÃ†P,270.09,270.221,XNJ,72,
din,PO2CSUSNU,PRON_POSS,270.221,270.351,XNJ,72,
gymnasie,NCCSU==I,N,270.351,270.648,XNJ,72,
hvad,PT-.SU--U,PRON_INTER_REL,270.648,270.945,XNJ,72,
skal,VADR=----A-,V_PRES,270.945,271.15,XNJ,72,
du,PP2CSN-NU,PRON_PERS,271.15,271.355,XNJ,72,
bruge,VAF-=----A-,V_INF,271.355,271.559,XNJ,72,
en,PI-CSU--U,PRON_UBST,271.559,271.764,XNJ,72,
studentereksamen,NCCSU==I,N,271.764,271.969,XNJ,72,
til,SP,PRÃ†P,271.969,272.26,XNJ,72,
..,,,272.26,272.67,XNJ,72,
øh,I=,INTERJ,306.065,306.299,XNJ,80,
hvem,PT-C.U--U,PRON_INTER_REL,306.299,306.534,XNJ,80,
omgås,VEF-=----A-,V_MED_INF,306.534,306.768,XNJ,80,
du,PP2CSN-NU,PRON_PERS,306.768,306.932,XNJ,80,
i,SP,PRÃ†P,306.932,307.097,XNJ,80,
din,PO2CSUSNU,PRON_POSS,307.097,307.262,XNJ,80,
fritid,NCCSU==I,N,307.262,307.426,XNJ,80,
....,,,307.426,308.438,XNJ,80,
er,VADR=----A-,V_PRES,316.761,316.96,XNJ,82,
det,PD-NSU--U,PRON_DEMO,316.96,317.159,XNJ,82,
gamle,ANP.SU=DU,ADJ,317.159,317.358,XNJ,82,
klassekammerater,NCCPU==I,N,317.358,317.83,XNJ,82,
øh,I=,INTERJ,317.83,318.302,XNJ,82,
..,,,318.302,318.578,XNJ,82,
eller,CC,SKONJ,318.578,319.05,XNJ,82,
øh,I=,INTERJ,319.05,319.539,XNJ,82,
.,,,319.539,319.611,XNJ,82,
naboer,NCCPU==I,N,319.611,319.978,XNJ,82,
eller,CC,SKONJ,319.978,320.344,XNJ,82,
...,,,320.344,320.885,XNJ,82,
hvad,PT-.SU--U,PRON_INTER_REL,332.475,332.57,XNJ,86,
er,VADR=----A-,V_PRES,332.57,332.666,XNJ,86,
der,U=,UNIK,332.666,332.761,XNJ,86,
for,SP,PRÃ†P,332.761,332.857,XNJ,86,
unge,ANP.PU=.U,ADJ,332.857,332.952,XNJ,86,
mennesker,NCNPU==I,N,332.952,333.048,XNJ,86,
at,U=,UNIK,333.048,333.143,XNJ,86,
tage,VAF-=----A-,V_INF,333.143,333.261,XNJ,86,
sig,PP3..U-YU,PRON_PERS,333.261,333.379,XNJ,86,
til,RGU,ADV,333.379,333.497,XNJ,86,
i,SP,PRÃ†P,333.497,333.615,XNJ,86,
fritiden,NCCSU==D,N,333.615,333.915,XNJ,86,
i,SP,PRÃ†P,333.915,334.214,XNJ,86,
Næstved,NP--U==-,EGEN,334.214,334.514,XNJ,86,
....,,,334.514,335.62,XNJ,86,
øh,I=,INTERJ,380.284,380.796,XNJ,96,
du,PP2CSN-NU,PRON_PERS,380.796,380.922,XNJ,96,
skal,VADR=----A-,V_PRES,380.922,381.047,XNJ,96,
altså,RGU,ADV,381.047,381.172,XNJ,96,
have,VAF-=----A-,V_INF,381.172,381.298,XNJ,96,
din,PO2CSUSNU,PRON_POSS,381.298,381.491,XNJ,96,
egen,ANPCSU=.U,ADJ,381.491,381.685,XNJ,96,
hest,NCCSU==I,N,381.685,381.878,XNJ,96,
eller,CC,SKONJ,381.878,382.126,XNJ,96,
en,PI-CSU--U,PRON_UBST,382.126,382.374,XNJ,96,
en,PI-CSU--U,PRON_UBST,382.374,382.621,XNJ,96,
øh,I=,INTERJ,382.621,382.869,XNJ,96,
en,PI-CSU--U,PRON_UBST,382.869,383.117,XNJ,96,
halv,ANPCSU=IU,ADJ,383.117,383.365,XNJ,96,
hest,NCCSU==I,N,383.365,383.612,XNJ,96,
eller,CC,SKONJ,383.612,383.86,XNJ,96,
..,,,383.86,384.108,XNJ,96,
ja,I=,INTERJ,396.542,396.708,ACM,99,
jeg,PP1CSN-NU,PRON_PERS,396.708,396.874,ACM,99,
har,VADR=----A-,V_PRES,396.874,397.041,ACM,99,
egentlig,RGU,ADV,397.041,397.207,ACM,99,
ikke,RGU,ADV,397.207,397.373,ACM,99,
særlig,ANPCSU=IU,ADJ,397.373,397.556,ACM,99,
meget,ANP.SU=IU,ADJ,397.556,397.738,ACM,99,
ansvar,NCNSU==I,N,397.738,397.921,ACM,99,
men,CC,SKONJ,397.921,398.103,ACM,99,
jeg,PP1CSN-NU,PRON_PERS,398.103,398.286,ACM,99,
betaler,VADR=----A-,V_PRES,398.286,398.634,ACM,99,
noget,PI-NSU--U,PRON_UBST,398.634,398.983,ACM,99,
for,SP,PRÃ†P,398.983,399.336,ACM,99,
at,CS,UKONJ,399.336,399.69,ACM,99,
..,,,399.69,399.877,ACM,99,
at,U=,UNIK,399.877,400.421,ACM,99,
leje,VAF-=----A-,V_INF,400.421,400.965,ACM,99,
den,PP3CSU-NU,PRON_PERS,400.965,401.191,ACM,99,
ligesom,CS,UKONJ,401.191,401.417,ACM,99,
men,CC,SKONJ,401.417,401.61,ACM,99,
det,PP3NSU-NU,PRON_PERS,401.61,401.802,ACM,99,
er,VADR=----A-,V_PRES,401.802,401.995,ACM,99,
stadig,RGU,ADV,401.995,402.188,ACM,99,
ejeren,NCCSU==D,N,402.188,402.332,ACM,99,
der,U=,UNIK,402.332,402.475,ACM,99,
har,VADR=----A-,V_PRES,402.475,402.618,ACM,99,
det,PD-NSU--U,PRON_DEMO,402.618,402.762,ACM,99,
meste,ANS.SU=DU,ADJ,402.762,403.121,ACM,99,
ansvar,NCNSU==I,N,403.121,403.48,ACM,99,
....,,,403.48,406.452,ACM,99,
vi,PP1CPN-NU,PRON_PERS,548.677,548.85,ACM,133,
kan,VADR=----A-,V_PRES,548.85,549.024,ACM,133,
tage,VAF-=----A-,V_INF,549.024,549.508,ACM,133,
de,PP3.PN-NU,PRON_PERS,549.508,549.993,ACM,133,
tre,AC---U=--,NUM,549.993,550.289,ACM,133,
vesttyske,ANP.PU=.U,ADJ,550.289,550.586,ACM,133,
de,PP3.PN-NU,PRON_PERS,550.586,550.882,ACM,133,
to,AC---U=--,NUM,550.882,551.26,ACM,133,
svenske,ANP.SU=DU,ADJ,551.26,551.638,ACM,133,
og,CC,SKONJ,551.638,552.301,ACM,133,
den,PD-CSU--U,PRON_DEMO,552.301,552.494,ACM,133,
danske,ANP.SU=DU,ADJ,552.494,552.686,ACM,133,
og,CC,SKONJ,552.686,552.878,ACM,133,
så,RGU,ADV,552.878,553.071,ACM,133,
Kanal,NP--U==-,EGEN,553.071,553.332,ACM,133,
To,NP--U==-,EGEN,553.332,553.593,ACM,133,
...,,,553.593,554.527,ACM,133,
hvad,PT-.SU--U,PRON_INTER_REL,556.839,556.971,XNJ,136,
synes,VEDR=----A-,V_MED_PRES,556.971,557.103,XNJ,136,
du,PP2CSN-NU,PRON_PERS,557.103,557.234,XNJ,136,
om,SP,PRÃ†P,557.234,557.366,XNJ,136,
de,PD-.PU--U,PRON_DEMO,557.366,557.498,XNJ,136,
forskellige,ANP.PU=.U,ADJ,557.498,557.846,XNJ,136,
kanaler,NCCPU==I,N,557.846,558.195,XNJ,136,
...,,,558.195,559.192,XNJ,136,
øh,I=,INTERJ,587.962,588.349,XNJ,140,
....,,,588.349,589.927,XNJ,140,
øh,I=,INTERJ,589.927,590.948,XNJ,140,
altså,RGU,ADV,590.948,591.252,XNJ,140,
den,PD-CSU--U,PRON_DEMO,591.252,591.555,XNJ,140,
lokale,ANP.SU=DU,ADJ,591.555,591.859,XNJ,140,
sender,VADR=----A-,V_PRES,591.859,592.142,XNJ,140,
eller,CC,SKONJ,592.142,592.424,XNJ,140,
Danmarks,NP--G==-,EGEN_GEN,592.424,592.735,XNJ,140,
Radios,NP--U==-,EGEN,592.735,593.073,XNJ,140,
lokale,ANP.SU=DU,ADJ,593.073,593.412,XNJ,140,
afdeling,NCCSU==I,N,593.412,593.75,XNJ,140,
..,,,593.75,593.93,XNJ,140,
ja,I=,INTERJ,753.482,754.024,ACM,171,
altså,RGU,ADV,754.024,754.566,ACM,171,
....,,,754.566,756.312,ACM,171,
jeg,PP1CSN-NU,PRON_PERS,756.312,756.517,ACM,171,
køber,VADR=----A-,V_PRES,756.517,756.722,ACM,171,
nogle,PI-.PU--U,PRON_UBST,756.722,756.927,ACM,171,
gange,NCCPU==I,N,756.927,757.04,ACM,171,
en,PI-CSU--U,PRON_UBST,757.04,757.153,ACM,171,
tegneserie,NCCSU==I,N,757.153,757.605,ACM,171,
